id,category,query1,query2,label
0,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血是什么原因？,1
1,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后为什么会咯血？,1
2,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，应该怎么处理？,0
3,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，需要就医吗？,0
4,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，是否很严重？,0
5,咳血,百令胶囊需要注意什么？,百令胶囊有什么注意事项？,1
6,咳血,百令胶囊需要注意什么？,服用百令胶囊有什么需要特别注意的吗？,1
7,咳血,百令胶囊需要注意什么？,百令胶囊如何服用？,0
8,咳血,百令胶囊需要注意什么？,百令胶囊效果好吗？,0
9,咳血,百令胶囊需要注意什么？,百令胶囊需要如何服用？,0
10,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少寿命？,1
11,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少时间？,1
12,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治疗吗？,0
13,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期该怎么办？,0
14,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治好吗？,0
15,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是怎么回事？,1
16,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么情况？,1
17,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年需要治病吗？,0
18,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年怎么处理？,0
19,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么原因导致的？,0
20,咳血,百令胶囊能长期服用吗?,百令胶囊是否可以长时间服用?,1
21,咳血,百令胶囊能长期服用吗?,百令胶囊长时间服用会有问题吗?,1
22,咳血,百令胶囊能长期服用吗?,百令胶囊能和其他药物一起服用吗?,0
23,咳血,百令胶囊能长期服用吗?,百令胶囊怎么服用?,0
24,咳血,百令胶囊能长期服用吗?,百令胶囊的服用方法是什么?,0
25,咳血,我国最常见的咯血原因是什么?,我国主要的咯血原因是什么?,1
26,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么导致的?,1
27,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血有哪些?,0
28,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血的种类有多少?,0
29,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么?,0
30,咳血,大咯血的处理原则是什么?,大咯血该怎么处理?,1
31,咳血,大咯血的处理原则是什么?,如何处理大咯血?,1
32,咳血,大咯血的处理原则是什么?,大咯血是什么情况?,0
33,咳血,大咯血的处理原则是什么?,大咯血的什么病?,0
34,咳血,大咯血的处理原则是什么?,大咯血的原因是什么?,0
35,咳血,咯血的话应该怎么抢救？,咯血的话应该怎么处理？,1
36,咳血,咯血的话应该怎么抢救？,咯血的话应该如何进行抢救？,1
37,咳血,咯血的话应该怎么抢救？,咯血的话应该去医院吗？,0
38,咳血,咯血的话应该怎么抢救？,咯血的话是什么原因造成的？,0
39,咳血,咯血的话应该怎么抢救？,咯血的话应该如何预防？,0
40,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是什么病症？,1
